fecha,año,mes,region,pais,cultivo,tipo_agente,agente,severidad,severidad_num,area_ha,tipo_tratamiento,producto_tratamiento,eficacia_pct,perdida_pct
2020-01-01,2020,1,Región Principal,China,Arroz,plaga,Barrenador del tallo,media,2,2745.0,Químico,Epoxiconazole,93.0,26.0
2020-01-13,2020,1,Región Principal,Francia,Caña de azúcar,plaga,Chinche marrón,crítica,4,3943.0,Cultural,Control manual,97.0,17.0
2020-01-15,2020,1,Cerrado,Brasil,Maíz,plaga,Oruga militar tardía,alta,3,10.0,Cultural,Fecha de siembra ajustada,82.0,38.0
2020-01-18,2020,1,Mata Atlántica,Brasil,Maíz,plaga,Barrenador del tallo,crítica,4,3064.0,Biológico,Trichogramma spp.,83.0,3.0
2020-01-23,2020,1,Patagonia,Argentina,Soja,plaga,Langosta,media,2,995.0,Biológico,Trichogramma spp.,75.0,2.0
2020-01-25,2020,1,Pampas,Brasil,Arroz,enfermedad,Podredumbre,alta,3,2222.0,Biológico,Nematodos entomopatógenos,88.0,32.0
2020-01-27,2020,1,Corn Belt,Estados Unidos,Arroz,plaga,Ácaro,baja,1,314.0,Físico,Barreras físicas,96.0,31.0
2020-02-03,2020,2,Corn Belt,Estados Unidos,Maíz,plaga,Mosca blanca,alta,3,3935.0,Químico,Lambda-cihalotrin,70.0,19.0
2020-02-17,2020,2,Coastal,India,Arroz,enfermedad,Piricularia,crítica,4,4588.0,Físico,Trampas de feromonas,92.0,5.0
2020-02-22,2020,2,Región Principal,Francia,Soja,plaga,Langosta,media,2,3067.0,Cultural,Control manual,87.0,36.0
2020-02-25,2020,2,Región Principal,Francia,Girasol,plaga,Ácaro,alta,3,3839.0,Cultural,Fecha de siembra ajustada,74.0,33.0
2020-03-07,2020,3,Región Principal,Alemania,Girasol,plaga,Mosca blanca,media,2,2736.0,Cultural,Control manual,84.0,30.0
2020-03-20,2020,3,California,Estados Unidos,Maíz,plaga,Chinche marrón,alta,3,4435.0,Químico,Imidacloprid,96.0,15.0
2020-04-03,2020,4,Región Principal,Alemania,Soja,enfermedad,Podredumbre,baja,1,4266.0,Biológico,Nematodos entomopatógenos,70.0,18.0
2020-04-18,2020,4,California,Estados Unidos,Arroz,plaga,Pulgón,alta,3,4502.0,Físico,Control térmico,91.0,27.0
2020-04-22,2020,4,Región Principal,Francia,Algodón,plaga,Langosta,media,2,1552.0,Biológico,Nematodos entomopatógenos,95.0,8.0
2020-04-30,2020,4,California,Estados Unidos,Soja,plaga,Ácaro,alta,3,1724.0,Biológico,Bacillus thuringiensis,70.0,3.0
2020-05-01,2020,5,Región Principal,China,Soja,plaga,Gusano cogollero,baja,1,2086.0,Físico,Trampas de feromonas,83.0,24.0
2020-05-12,2020,5,Región Principal,Alemania,Maíz,plaga,Pulgón,media,2,2498.0,Físico,Control térmico,88.0,32.0
2020-05-23,2020,5,Pampa Húmeda,Argentina,Caña de azúcar,plaga,Pulgón,baja,1,2105.0,Físico,Barreras físicas,94.0,36.0
