id_noticia,fecha,año,mes,fuente,titular,contenido,categoria,severidad,impacto_cultivos_str,paises_afectados_str,n_paises_afectados,sentiment_compound,sentiment_label
NEWS5336,2021-01-01,2021,1,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,alta,todos,Australia,1,0.75,positivo
NEWS8360,2021-01-11,2021,1,Dairy Reporter,Ola de calor reduce rendimientos de Arroz,Eventos climáticos extremos están afectando la producción de arroz en Canadá. Los agricultores reportan pérdidas del 21% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,baja,arroz,India|Argentina|Rusia,3,-0.75,negativo
NEWS6016,2021-01-19,2021,1,World Grain,Sequía afecta proyecciones de cosecha en Alemania,Eventos climáticos extremos están afectando la producción de maíz en Alemania. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,alta,maíz,Argentina|México,2,-0.75,negativo
NEWS5711,2021-02-13,2021,2,Farm Journal,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,media,todos,India|México|Nueva Zelanda,3,0.75,positivo
NEWS8036,2021-03-10,2021,3,Reuters Agricultura,Demanda china impulsa mercado de carne_bovina,El mercado internacional de carne_bovina muestra una tendencia bajando. Los precios han bajando un 9% en el último mes. Rusia se posiciona como un actor clave en este mercado.,mercado,alta,carne_bovina,India|Argentina|Nueva Zelanda,3,-0.15,negativo
NEWS3127,2021-03-13,2021,3,AgriCensus,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,media,todos,Brasil,1,0.75,positivo
NEWS7808,2021-04-12,2021,4,Dairy Reporter,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,baja,todos,China|Nueva Zelanda|Rusia,3,0.75,positivo
NEWS9989,2021-04-18,2021,4,World Grain,Demanda china impulsa mercado de soja,El mercado internacional de soja muestra una tendencia bajando. Los precios han bajando un 14% en el último mes. España se posiciona como un actor clave en este mercado.,mercado,media,soja,México|España,2,-0.15,negativo
NEWS8393,2021-05-09,2021,5,Reuters Agricultura,Sequía afecta proyecciones de cosecha en Estados Unidos,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 9% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,media,soja,Brasil,1,-0.75,negativo
NEWS8884,2021-05-20,2021,5,Reuters Agricultura,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,México|Brasil,2,0.75,positivo
NEWS6787,2021-06-11,2021,6,Farm Journal,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,baja,todos,Italia|Brasil,2,0.75,positivo
NEWS3388,2021-06-17,2021,6,World Grain,México aumenta exportaciones de trigo,El mercado internacional de trigo muestra una tendencia subiendo. Los precios han subiendo un 19% en el último mes. México se posiciona como un actor clave en este mercado.,mercado,baja,trigo,Estados Unidos,1,0.45,positivo
NEWS6757,2021-06-28,2021,6,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,India|Australia|Italia,3,0.75,positivo
NEWS9395,2021-06-29,2021,6,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,media,todos,Italia,1,0.75,positivo
NEWS8920,2021-07-24,2021,7,Meat+Poultry,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,baja,todos,Kenia,1,0.75,positivo
NEWS9099,2021-08-18,2021,8,Farm Journal,Nueva política agrícola en España busca mejorar sostenibilidad,El gobierno de España ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,baja,todos,India|Canadá|Nueva Zelanda,3,0.75,positivo
NEWS1596,2021-09-05,2021,9,Meat+Poultry,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,media,todos,Francia|India|Argentina,3,0.75,positivo
NEWS8593,2021-09-20,2021,9,Bloomberg Commodities,Sequía afecta proyecciones de cosecha en Kenia,Eventos climáticos extremos están afectando la producción de girasol en Kenia. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,media,girasol,Canadá|Argentina|Francia,3,-0.75,negativo
NEWS6582,2021-09-23,2021,9,Bloomberg Commodities,Sequía afecta proyecciones de cosecha en Kenia,Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,media,café,México|España|Italia,3,-0.75,negativo
NEWS2746,2021-09-27,2021,9,Farm Journal,Inundaciones devastan cultivos en la región,Eventos climáticos extremos están afectando la producción de girasol en Italia. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,media,girasol,Argentina|Canadá,2,-0.9,negativo
NEWS3507,2021-09-29,2021,9,AgriCensus,Nueva política agrícola en Estados Unidos busca mejorar sostenibilidad,El gobierno de Estados Unidos ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Canadá|Alemania,2,0.75,positivo
NEWS6052,2021-10-08,2021,10,AgriCensus,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,alta,todos,Brasil|Australia,2,0.75,positivo
NEWS2524,2021-11-01,2021,11,AgriCensus,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,baja,todos,Francia|Estados Unidos,2,0.75,positivo
NEWS2857,2021-11-29,2021,11,Bloomberg Commodities,Nueva política agrícola en Kenia busca mejorar sostenibilidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,Francia,1,0.75,positivo
NEWS4478,2021-12-03,2021,12,AgriCensus,Nueva política agrícola en Francia busca mejorar sostenibilidad,El gobierno de Francia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,baja,todos,Kenia,1,0.75,positivo
NEWS9993,2021-12-22,2021,12,Meat+Poultry,Ola de calor reduce rendimientos de Maíz,Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,alta,maíz,Italia,1,-0.75,negativo
NEWS7613,2022-01-21,2022,1,Farm Journal,Nueva política agrícola en México busca mejorar sostenibilidad,El gobierno de México ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,media,todos,Nueva Zelanda|China|Brasil,3,0.75,positivo
NEWS6460,2022-02-15,2022,2,Reuters Agricultura,Nueva política agrícola en Rusia busca mejorar sostenibilidad,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,media,todos,Nueva Zelanda,1,0.75,positivo
NEWS6916,2022-02-24,2022,2,Dairy Reporter,Sequía afecta proyecciones de cosecha en Estados Unidos,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 11% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,media,soja,Australia,1,-0.75,negativo
NEWS2701,2022-03-09,2022,3,Farm Journal,Inundaciones devastan cultivos en la región,Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,baja,trigo,Nueva Zelanda,1,-0.9,negativo
NEWS9568,2022-03-30,2022,3,Meat+Poultry,Inundaciones devastan cultivos en Wheatbelt,Eventos climáticos extremos están afectando la producción de arroz en Australia. Los agricultores reportan pérdidas del 37% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,baja,arroz,Argentina|Nueva Zelanda,2,-0.9,negativo
NEWS9971,2022-04-28,2022,4,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,Australia,1,0.75,positivo
NEWS5795,2022-05-06,2022,5,Reuters Agricultura,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,alta,todos,Alemania|India|México,3,0.75,positivo
NEWS3042,2022-05-18,2022,5,Bloomberg Commodities,Nueva política agrícola en Kenia busca mejorar sostenibilidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,media,todos,China|Rusia|India,3,0.75,positivo
