fecha,año,mes,region,pais,cultivo,tipo_agente,agente,severidad,severidad_num,area_ha,tipo_tratamiento,producto_tratamiento,eficacia_pct,perdida_pct,sentimiento_negativo_mes,probabilidad_riesgo_severo,prediccion_umbral_050,prediccion_umbral_050_label,prediccion_umbral_opt,prediccion_umbral_opt_label,riesgo_real,riesgo_real_label,resultado_clasificacion,shap_sentimiento_nlp,confianza_modelo
2020-01-01,2020,1,Región Principal,China,Arroz,plaga,Barrenador del tallo,media,2,2745.0,Químico,Epoxiconazole,93.0,26.0,0.0,0.4684,0,Manejable,1,Severo,0,Manejable,Falso Positivo,-0.1023,Baja
2020-01-13,2020,1,Región Principal,Francia,Caña de azúcar,plaga,Chinche marrón,crítica,4,3943.0,Cultural,Control manual,97.0,17.0,0.0,0.4509,0,Manejable,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Baja
2020-01-15,2020,1,Cerrado,Brasil,Maíz,plaga,Oruga militar tardía,alta,3,10.0,Cultural,Fecha de siembra ajustada,82.0,38.0,0.0,0.4721,0,Manejable,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Baja
2020-01-18,2020,1,Mata Atlántica,Brasil,Maíz,plaga,Barrenador del tallo,crítica,4,3064.0,Biológico,Trichogramma spp.,83.0,3.0,0.0,0.4118,0,Manejable,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Baja
2020-01-23,2020,1,Patagonia,Argentina,Soja,plaga,Langosta,media,2,995.0,Biológico,Trichogramma spp.,75.0,2.0,0.0,0.3573,0,Manejable,1,Severo,0,Manejable,Falso Positivo,-0.1023,Baja
2020-01-25,2020,1,Pampas,Brasil,Arroz,enfermedad,Podredumbre,alta,3,2222.0,Biológico,Nematodos entomopatógenos,88.0,32.0,0.0,0.4241,0,Manejable,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Baja
2020-01-27,2020,1,Corn Belt,Estados Unidos,Arroz,plaga,Ácaro,baja,1,314.0,Físico,Barreras físicas,96.0,31.0,0.0,0.351,0,Manejable,1,Severo,0,Manejable,Falso Positivo,-0.1023,Baja
2020-02-03,2020,2,Corn Belt,Estados Unidos,Maíz,plaga,Mosca blanca,alta,3,3935.0,Químico,Lambda-cihalotrin,70.0,19.0,0.0,0.8349,1,Severo,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Alta
2020-02-17,2020,2,Coastal,India,Arroz,enfermedad,Piricularia,crítica,4,4588.0,Físico,Trampas de feromonas,92.0,5.0,0.0,0.6077,1,Severo,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Baja
2020-02-22,2020,2,Región Principal,Francia,Soja,plaga,Langosta,media,2,3067.0,Cultural,Control manual,87.0,36.0,0.0,0.6517,1,Severo,1,Severo,0,Manejable,Falso Positivo,-0.1023,Baja
2020-02-25,2020,2,Región Principal,Francia,Girasol,plaga,Ácaro,alta,3,3839.0,Cultural,Fecha de siembra ajustada,74.0,33.0,0.0,0.8086,1,Severo,1,Severo,1,Severo,Verdadero Positivo,-0.1023,Alta
2020-03-07,2020,3,Región Principal,Alemania,Girasol,plaga,Mosca blanca,media,2,2736.0,Cultural,Control manual,84.0,30.0,0.0,0.3764,0,Manejable,1,Severo,0,Manejable,Falso Positivo,-0.1023,Baja
